sqldate,AvgTone,NormalizedTone,7d,14d,28d
2019-07-31,-1.2724083248276208,4.218219382080347,2.8283426814822907,1.6917838012782056,1.4438751766321956
2019-08-01,-1.4292659237739416,3.459858105354541,2.656029648925714,1.8530538070970128,1.492430514162972
2019-08-02,-1.2784036287863,4.189233815585611,2.797996881592764,2.035444888760857,1.5972353877160306
2019-08-03,-2.1497831437249495,-0.023634964126691305,2.542520449456766,2.2289460977171713,1.5216066774816621
2019-08-04,-1.8217675291422208,1.562225981928501,2.703976713211253,2.516149600399724,1.5241136422874992
2019-08-05,-1.526737799516041,2.988609682395231,2.757973648549474,2.7704146699353105,1.571587395676012
2019-08-06,-1.444744230005098,3.385024956346377,2.825648137080562,2.7768524599870044,1.605174426583701
2019-08-07,-1.677768983693427,2.2584174416140295,2.545676431299659,2.687009556390973,1.595608248182046
2019-08-08,-1.4207384547721396,3.5010859599365776,2.551566124811379,2.603797886868544,1.7027097649717677
2019-08-09,-1.429804794940853,3.457252818592058,2.4469974109551567,2.6224971462739584,1.828876359557151
2019-08-10,-1.7722976299313322,1.8013986849220298,2.707716503676403,2.625118476566582,1.9109280400921078
2019-08-11,-2.5131977676358424,-1.7806399165243634,2.2301642324688506,2.4670704728400494,1.8652381761028116
2019-08-12,-1.493629117110423,3.1486806182535956,2.2530315090200457,2.505502578784758,1.9470544744155214
2019-08-13,-1.6820514961363282,2.23771272838618,2.089129762168589,2.457388949624573,1.921568734271916
2019-08-14,-1.7965208355616114,1.6842864680350638,2.0071110516573083,2.2763937414784814,1.984088771378343
2019-08-15,-1.2565496672235636,4.294891420340259,2.120511831714977,2.3360389782631756,2.094546392680094
2019-08-16,-1.4981354927173187,3.126893591156356,2.0733176563670197,2.260157533661086,2.1478012112109712
2019-08-17,-1.8097278550420204,1.6204343357686946,2.0474656064879717,2.377591055082185,2.303268576399678
2019-08-18,-2.6773580214628727,-2.5743074246092132,1.934084533904422,2.082124383186634,2.2991369917931785
2019-08-19,-1.9294118205376964,1.0417968614824211,1.6331011400799684,1.9430663245500046,2.356740497242657
